year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ARG,1690426.384,1576488.566,1436029.392,1306082.662,1179669.963,1060749.568,947200.5086,835886.5515,729727.8169,630038.1235,538955.5825,456951.1988,383192.3784,316784.087,257098.7276,204026.3,157589.914
AUS,435840.0716,336031.178,270634.0433,207403.2823,165193.0333,126186.9424,93674.07482,68402.60919,48684.60915,33919.627,23252.9352,15718.49976,10415.45755,6656.269082,3993.181079,2163.096225,1008.061671
AUT,4.277639,2.022587,0.8514,0.269793,0.0635,0.0038,0,0,0,0,0,0,0,0,0,0,0
BHS,2897.808772,3071.243879,3126.447827,3167.870885,3148.880856,3059.625608,2858.092673,2886.995398,2825.787816,2670.177608,2438.574994,2154.175874,1833.521798,1506.49599,1179.115319,872.273496,603.517048
BHR,61298.32555,59564.81556,64950.2772,63992.74344,55243.0584,48946.65096,42844.99813,38737.75844,33600.50784,28494.29022,23690.49997,19185.41312,15131.15171,11576.7871,8518.182082,5972.640839,3948.628402
BGD,24779542.22,26840031.51,29373760.11,32064705.3,34316592.03,35085619.31,35298046.05,35257759.62,34835075.53,33926112.02,32650731.76,30936737.2,28854959.52,26432672.59,23752797.88,20925882.55,18060150.3
ARM,30840.77806,26326.58233,22199.74058,18569.64892,14956.91133,11354.1804,9186.246825,7429.144077,5890.699793,4648.378354,3687.108939,2965.931753,2431.953689,2020.739157,1677.821452,1372.018186,1092.674943
BEL,8.671566,5.209559,2.713005,1.293527,0.522996,0.0764,0.0088,0,0,0,0,0,0,0,0,0,0
BOL,954660.0361,913296.6027,862043.6651,800378.1144,739307.5481,672678.5054,603845.0846,534821.1287,466120.3691,399491.5293,337177.7684,280288.4078,229603.9097,185419.8293,147455.7608,115295.9343,88439.58406
BRA,18176563.49,18114576.54,17832310.4,17180207.63,16438113.89,15496238.54,14496023.58,13365334.37,12135691.83,10868230.11,9599535.001,8352358.827,7151588.602,6019099.27,4968887.803,4011853.858,3156744.073
BLZ,14557.60114,13282.96827,12352.93912,11815.78364,11081.12652,10416.94867,9820.268519,9228.526864,8578.633749,7883.291933,7137.706531,6401.472706,5666.987135,4922.858687,4172.120206,3432.79493,2731.329279
BGR,514648.0645,401429.1952,305070.6096,233101.8898,180248.4191,142606.354,120957.3102,105951.0882,91967.80925,79453.8562,69047.73942,60539.93575,53504.36882,47426.59491,41824.59478,36411.19797,30990.91205
MMR,5115721.112,5372160.762,5628764.767,5810972.225,5962637.044,5973782.044,5943303.933,5792970.864,5564623.122,5278297.67,4943605.83,4578404.379,4185721.441,3768926.473,3334003.964,2888597.797,2446478.875
KHM,2144311.529,1972324.028,1788215.283,1813319.978,1861950.001,1923173.255,2006472.939,2026069.592,2019019.809,1967462.116,1889315.737,1798845.848,1699368.474,1587457.998,1461144.552,1324882.389,1182758.085
CMR,2435352.604,2416011.919,2419549.885,2393280.233,2397756.678,2372047.612,2292664.633,2165923.021,2014716.676,1856025.443,1698969.707,1538143.822,1380573.089,1229388.229,1085059.412,946723.3472,813915.9691
CAN,364334.5357,343258.9307,311581.4434,274512.0726,239358.2371,197643.6432,161062.2953,130311.2592,104514.0133,83091.24421,65368.64088,50651.98919,38343.66331,28036.13978,19514.88685,12735.6136,7679.517771
CAF,872719.1834,872213.8834,877270.4371,906721.6927,895573.4924,919723.4874,911707.2864,864642.4556,831490.0973,796887.9637,754163.8911,707594.6202,659420.2045,609229.9043,558008.1164,506777.9672,456066.7817
LKA,1200344.221,1178113.561,1130674.521,1076033.955,1009753.839,926157.6409,835942.7351,821580.2784,736284.5607,651330.283,567708.1704,485897.9801,406449.1475,330349.052,259304.3554,196049.5086,142741.6048
TCD,1925312.972,2050961.088,2139756.292,2260678.079,2451030.741,2664271.896,2918372.863,3174311.491,3351610.141,3511633.674,3668330.021,3823780.616,3949135.213,4036220.329,4077293.525,4065669.766,3998335.073
CHL,710882.9772,668520.4472,629519.1895,585408.9479,537628.0928,489410.1696,446747.0974,408204.2108,364754.918,319084.0202,274102.369,231673.7255,192795.4414,157935.6386,127075.0555,99968.69462,76305.15363
CHN,203971218.5,190519252,175838479.4,159370571.8,142580867,124908568,108258280.2,92376607.19,76649746.11,62142909.4,49386318.3,38641390.91,29829651.63,22694840.18,16965873.71,12420102.93,8842216.354
COL,2777657.723,2712909.937,2622363.733,2511728.057,2356137.149,2185541.25,2020339.255,1846711.097,1665674.858,1479926.672,1293862.725,1112149.037,939090.3741,775365.5224,624629.5963,489297.1641,372058.2319
COM,131719.7472,143211.0122,159018.2216,164615.0042,168593.2696,173352.4665,177633.552,178318.3975,,174931.5609,170841.6738,164473.5874,155811.1208,145424.4953,134050.9215,122144.1449,110055.4005
CRI,164811.2739,160238.0765,157878.4423,155118.056,151376.9894,148084.4953,145715.4455,147042.0687,139740.3339,130283.3075,119369.3881,107804.011,96136.96674,84723.92723,73709.69421,63083.99044,52778.37163
HRV,412593.3893,341307.7985,278219.7502,219595.2765,170348.3289,138521.1637,104919.703,83792.35972,63740.92486,46333.64594,32634.6036,22681.48785,15933.30697,11520.65865,8595.123615,6516.390102,4921.155023
CUB,310241.2545,240736.3205,184546.578,136205.9367,97660.46762,61888.71982,42711.96764,27371.48799,17443.76823,11333.48899,7664.359208,5402.544081,3942.688387,2939.033101,2218.742576,1684.71085,1261.092665
CYP,61110.79384,46487.94737,36358.08088,29130.41023,22921.4771,16631.50859,12542.25439,9244.256788,6546.328108,4632.088644,3309.979178,2411.207229,1801.95663,1381.279599,1076.477732,837.280571,636.569136
CZE,56322.00492,52808.33405,49028.47991,45341.76307,42744.34578,41107.46487,37960.73817,34559.35826,31182.42729,27939.65865,24865.86021,21920.45466,19032.36934,16179.88651,13400.61042,10754.2267,8297.161367
BEN,1311249.328,1412137.493,1520378.709,1640780.349,1806158.772,2055095.102,2225993.779,2408619.3,2573160.55,2709894.667,2828634.892,2922859.566,2981448.025,2996756.271,2967547.133,2896420.385,2786258.223
DNK,4.553783,2.86461,1.604015,0.808113,0.333172,0.0466,0.0083,0,0,0,0,0,0,0,0,0,0
DOM,66449.69521,72962.47921,77377.91681,80632.89342,82413.68248,82007.50281,79106.55531,74629.7742,69121.34379,62971.27363,56478.51344,49827.36075,43158.3717,36565.59601,30163.41509,24093.70522,18500.95742
ECU,770661.3184,773492.6221,766247.9676,752334.8039,736091.9587,712654.307,676872.6415,633802.7879,583979.2567,531983.2922,475000.1301,415653.0357,356902.4563,301052.4595,249484.4213,202991.8262,162193.7846
SLV,806555.0012,816857.5017,798656.5889,744740.0483,712189.9312,687223.8438,649979.8927,604309.8435,556589.2021,507037.7775,457291.1337,407573.6863,358924.5132,311979.2037,267064.1497,224491.8337,184618.6773
ETH,15601076.41,17522234.56,18525394.71,21006765.07,23638677.59,26545922.58,29810161.44,33335715.34,37223504.12,41030051.36,44450727.77,47460670.24,49988763.82,51902500.09,53095243.37,53534844.02,53240668.96
ERI,829007.2768,906492.7268,993288.1441,1032914.405,1038523.87,899486.0893,880499.5334,905044.3368,890101.0169,869865.8745,839755.8624,805843.9209,763860.8099,712984.7615,654788.075,591735.4678,525668.2026
