code,cow_code,cow_letter,imf_code,iso_alpha2,iso_alpha3,kansas_code,legacy_country_id,legacy_entity_id,marc_code,ncd_code,penn_code,unctad_code,wikidata_code
AFG,700,AFG,512,AF,AFG,AFG,562,15,AF,AFGN,AFG,AFG,Q889
ALA,,,,AX,ALA,,791,61373,,,,,Q5689
ALB,339,ALB,914,AL,ALB,ALB,565,16,AA,ALBN,ALB,ALB,Q222
DZA,615,ALG,612,DZ,DZA,DZA,619,17,AE,ALGR,DZA,ALG,Q262
ASM,,,859,AS,ASM,ASM,571,246,AS,,ASM,,Q16641
AND,232,AND,,AD,AND,AND,566,18,AN,,AND,,Q228
AGO,540,ANG,614,AO,AGO,AGO,563,19,AO,ANGL,AGO,ANG,Q916
AIA,,,312,AI,AIA,AIA,564,228,AM,,AIA,ANL,Q25228
ATG,58,AAB,311,AG,ATG,ATG,572,20,AQ,,ATG,ANT,Q781
ARG,160,ARG,213,AR,ARG,ARG,569,21,AG,ARGN,ARG,ARG,Q414
ARM,371,ARM,911,AM,ARM,ARM,570,22,AI,,ARM,,Q399
ABW,,,314,AW,ABW,ABW,561,219,AW,,ABW,ARU,Q21203
AUS,900,AUL,193,AU,AUS,AUS,573,23,AT,AUSL,AUS,,Q408
AUT,305,AUS,122,AT,AUT,AUT,574,24,AU,AUST,AUT,,Q40
OWID_AUH,300,AUH,,,,,822,373,,,,,
AZE,373,AZE,912,AZ,AZE,AZE,575,25,AJ,,AZE,AZE,Q227
BHS,31,BHM,313,BS,BHS,BHS,583,26,BF,,BHS,BHA,Q778
BHR,692,BAH,419,BH,BHR,BHR,582,27,BA,BHRN,BHR,BAH,Q398
BGD,771,BNG,513,BD,BGD,BGD,580,28,BG,BNGL,BGD,BGD,Q902
BRB,53,BAR,316,BB,BRB,BRB,590,29,BB,BRBD,BRB,BAR,Q244
BLR,370,BLR,913,BY,BLR,BLR,585,30,BW,,BLR,BYE,Q184
BEL,211,BEL,124,BE,BEL,BEL,577,4,BE,BLGM,BEL,,Q31
BLZ,80,BLZ,339,BZ,BLZ,BLZ,586,31,BH,BNIN,BLZ,BZE,Q242
BEN,434,BEN,638,BJ,BEN,BEN,578,32,DM,,BEN,BEN,Q962
BMU,,,319,BM,BMU,BMU,587,194,BM,,BMU,BER,Q23635
BTN,760,BHU,514,BT,BTN,BTN,592,33,BT,BHTN,BTN,BHU,Q917
BOL,145,BOL,218,BO,BOL,BOL,588,34,BO,BOLV,BOL,BOL,Q750
BES,,,,BQ,BES,,794,348,,,,,Q27561
BIH,346,BOS,963,BA,BIH,BIH,584,35,BN,,BIH,BIH,Q225
BWA,571,BOT,616,BW,BWA,BWA,593,36,BS,BTSN,BWA,BOT,Q963
BVT,,,,BV,BVT,,796,349,,,,,Q23408
BRA,140,BRA,223,BR,BRA,BRA,589,37,BL,BRZL,BRA,BRA,Q155
IOT,,,,IO,IOT,,801,351,,,,,Q43448
VGB,,,,VG,VGB,VGB,781,196,VB,,VGB,BVI,Q25305
BRN,835,BRU,516,BN,BRN,BRN,591,38,BX,,BRN,BRU,Q921
BGR,355,BUL,918,BG,BGR,BGR,581,39,BU,BLGR,BGR,BUL,Q219
BFA,439,BFO,748,BF,BFA,BFA,579,40,UV,BKFS,BFA,BKF,Q965
BDI,516,BUI,618,BI,BDI,BDI,576,41,BD,BRND,BDI,BDI,Q967
KHM,811,CAM,522,KH,KHM,KHM,670,42,CB,KMPC,KHM,CMB,Q424
CMR,471,CAO,622,CM,CMR,CMR,601,43,CM,CMRN,CMR,CMR,Q1009
CAN,20,CAN,156,CA,CAN,CAN,595,44,XXC,CNDA,CAN,,Q16
CPV,402,CAP,624,CV,CPV,CPV,607,45,CV,CVRD,CPV,CVI,Q1011
CYM,,,377,KY,CYM,CYM,611,197,CJ,,CYM,CAY,Q5785
CAF,482,CEN,626,CF,CAF,CAF,594,174,CX,CAFR,CAF,CAF,Q929
TCD,483,CHA,628,TD,TCD,TCD,760,173,CD,CHAD,TCD,CHD,Q657
OWID_CIS,,,,,,,834,304,,,,,
CHL,155,CHL,228,CL,CHL,CHL,598,172,CL,CHLE,CHL,CHI,Q298
CHN,710,CHN,924,CN,CHN,CHN,599,171,CH,CHNA,CHN,CPR,Q148
CXR,,,,CX,CXR,,610,247,XA,,CXR,,Q31063
CCK,,,,CC,CCK,,596,263,XB,,CCK,,Q36004
COL,100,COL,233,CO,COL,COL,605,170,CK,CLMB,COL,COL,Q739
COM,581,COM,632,KM,COM,COM,606,169,CQ,CMRS,COM,COI,Q970
COG,484,CON,634,CG,COG,,603,168,CF,CNGO,COG,PRC,Q971
COK,,,815,CK,COK,COK,604,199,CW,,COK,CKI,Q26988
CRI,94,COS,238,CR,CRI,CRI,608,166,CR,CRCA,CRI,COS,Q800
CIV,437,CDI,662,CI,CIV,CIV,600,143,IV,IVCT,CIV,IVC,Q1008
HRV,344,CRO,960,HR,HRV,HRV,653,165,CI,,HRV,CRO,Q224
CUB,40,CUB,928,CU,CUB,CUB,609,164,CU,CUBA,CUB,CUB,Q241
CUW,,,,CW,CUW,,797,279,,,,,Q25279
CYP,352,CYP,423,CY,CYP,CYP,612,163,CY,CYPR,CYP,CYP,Q229
CZE,316,CZR,935,CZ,CZE,CZE,613,162,XR,,CZE,CZE,Q213
OWID_CZS,315,CZE,,,,,823,267,,,,,
COD,490,DRC,636,CD,COD,,602,167,CG,ZAIR,ZAR,ZAI,Q974
DNK,390,DEN,128,DK,DNK,DNK,617,161,DK,DNMK,DNK,,Q35
DJI,522,DJI,611,DJ,DJI,DJI,615,154,FT,,DJI,DJI,Q977
DMA,54,DMA,321,DM,DMA,DMA,616,200,DQ,,DMA,DMI,Q784
DOM,42,DOM,243,DO,DOM,DOM,618,160,DR,DMNR,DOM,DOM,Q786
OWID_GDR,265,GDR,,,,,815,186,,,,,
ECU,130,ECU,248,EC,ECU,ECU,620,201,EC,ECDR,ECU,ECU,Q736
EGY,651,EGY,469,EG,EGY,EGY,621,65,UA,EGPT,EGY,EGY,Q79
SLV,92,SAL,253,SV,SLV,SLV,745,259,ES,ELSL,SLV,ELS,Q792
GNQ,411,EQG,642,GQ,GNQ,GNQ,643,159,EG,EQGN,GNQ,EQG,Q983
ERI,531,ERI,643,ER,ERI,ERI,622,157,EA,,ERI,ERI,Q986
EST,366,EST,939,EE,EST,EST,625,156,ER,,EST,EST,Q191
SWZ,572,SWA,734,SZ,SWZ,SWZ,756,78,SQ,SWAZ,SWZ,SWA,Q1050
ETH,530,ETH,644,ET,ETH,ETH,626,158,ET,ETHP,ETH,ETH,Q115
FRO,,,,FO,FRO,FRO,631,250,FA,,FRO,,Q4628
FLK,,,,FK,FLK,,629,249,FK,,FLK,,Q9648
FJI,950,FIJ,819,FJ,FJI,FJI,628,202,FJ,FIJI,FJI,FIJ,Q712
FIN,375,FIN,172,FI,FIN,FIN,627,155,FI,FNLD,FIN,,Q33
FRA,220,FRN,132,FR,FRA,FRA,630,3,FR,FRNC,FRA,,Q142
GUF,,,333,GF,GUF,GUF,648,253,FG,,GUF,,Q3769
PYF,,,887,PF,PYF,PYF,732,203,FP,,PYF,,Q30971
ATF,,,,TF,ATF,,793,347,,,,,Q129003
GAB,481,GAB,646,GA,GAB,GAB,634,153,GO,GBON,GAB,GAB,Q1000
GMB,420,GAM,648,GM,GMB,GMB,641,151,GM,GMBA,GMB,GAM,Q1005
GEO,372,GRG,915,GE,GEO,GEO,636,152,GS,,GEO,GEO,Q230
DEU,255,GMY,134,DE,DEU,DEU,614,6,GW,GFR0,GER,,Q183
GHA,452,GHA,652,GH,GHA,GHA,637,150,GH,GHNA,GHA,GHA,Q117
GIB,,,823,GI,GIB,GIB,638,251,GI,,GIB,,Q1410
GRC,350,GRC,174,GR,GRC,GRC,644,149,GR,GRCE,GRC,,Q41
GRL,,,326,GL,GRL,GRL,646,205,GL,,GRL,,Q223
GRD,55,GRN,328,GD,GRD,GRD,645,206,GD,GRND,GRD,GRN,Q769
GLP,,,329,GP,GLP,GLP,640,252,GP,,GLP,,Q17012
GUM,,,829,GU,GUM,GUM,649,254,GU,,GUM,,Q16635
GTM,90,GUA,258,GT,GTM,GTM,647,148,GT,GTML,GTM,GUA,Q774
GGY,,,,GG,GGY,,798,282,,,,,Q25230
GIN,438,GUI,656,GN,GIN,GIN,639,147,GV,GNEA,GIN,GUI,Q1006
GNB,404,GNB,654,GW,GNB,GNB,642,94,PG,GNBS,GNB,GBS,Q1007
GUY,110,GUY,336,GY,GUY,GUY,650,146,GY,GYNA,GUY,GUY,Q734
HTI,41,HAI,263,HT,HTI,HTI,654,145,HT,HATI,HTI,HAI,Q790
HMD,,,,HM,HMD,,799,350,,,,,Q131198
HND,91,HON,268,HN,HND,HND,652,139,HO,HNDS,HND,HON,Q783
HKG,,,532,HK,HKG,HKG,651,144,HK,HGKG,HKG,,Q8646
HUN,310,HUN,944,HU,HUN,HUN,655,138,HU,HNGR,HUN,HUN,Q28
ISL,395,ICE,176,IS,ISL,ISL,661,207,IC,ICLD,ISL,,Q189
IND,750,IND,534,IN,IND,IND,657,137,II,INDA,IND,IND,Q668
IDN,850,INS,536,ID,IDN,IDN,656,136,IO,INDS,IDN,INS,Q252
IRN,630,IRN,429,IR,IRN,IRN,659,135,IR,IRAN,IRN,IRA,Q794
IRQ,645,IRQ,433,IQ,IRQ,IRQ,660,134,IQ,IRAQ,IRQ,IRQ,Q796
IRL,205,IRE,178,IE,IRL,IRL,658,2,IE,IRLD,IRL,,Q27
IMN,,,,IM,IMN,,800,265,,,,,Q9676
ISR,666,ISR,436,IL,ISR,ISR,662,133,IS,ISRL,ISR,,Q801
ITA,325,ITA,136,IT,ITA,ITA,663,8,IT,ITLY,ITA,,Q38
JAM,51,JAM,343,JM,JAM,JAM,664,132,JM,JMCA,JAM,JAM,Q766
JPN,740,JPN,158,JP,JPN,JPN,666,14,JA,JPAN,JPN,,Q17
JEY,,,,JE,JEY,,802,283,,,,,Q785
JOR,663,JOR,439,JO,JOR,JOR,665,130,JO,JRDN,JOR,JOR,Q810
KAZ,705,KZK,916,KZ,KAZ,KAZ,667,131,KZ,,KAZ,KAZ,Q232
KEN,501,KEN,664,KE,KEN,KEN,668,129,KE,KNYA,KEN,KEN,Q114
KIR,946,KIR,826,KI,KIR,KIR,671,204,GB,,KIR,KIR,Q710
OWID_KOS,347,KOS,,,,,828,379,,,,,
KWT,690,KUW,443,KW,KWT,KWT,674,208,KU,KWAT,KWT,KUW,Q817
KGZ,703,KYR,917,KG,KGZ,KGZ,669,126,KG,,KGZ,KYR,Q813
LAO,812,LAO,544,LA,LAO,LAO,675,125,LS,LAOS,LAO,LAO,Q819
LVA,367,LAT,941,LV,LVA,LVA,685,122,LV,,LVA,LAT,Q211
LBN,660,LEB,446,LB,LBN,LBN,676,124,LE,LBNN,LBN,LEB,Q822
LSO,570,LES,666,LS,LSO,LSO,682,123,LO,LSTO,LSO,LES,Q1013
LBR,450,LBR,668,LR,LBR,LBR,677,121,LB,LBRA,LBR,LIR,Q1014
LBY,620,LIB,672,LY,LBY,LBY,678,120,LY,LBYA,LBY,LIB,Q1016
LIE,223,LIE,,LI,LIE,LIE,680,209,LH,,LIE,LIT,Q347
LTU,368,LIT,946,LT,LTU,LTU,683,119,LI,,LTU,,Q37
LUX,212,LUX,137,LU,LUX,LUX,684,210,LU,LXBG,LUX,,Q32
MAC,,,,MO,MAC,MAC,686,262,MH,,MAC,,Q14773
MDG,580,MAG,674,MG,MDG,MDG,690,118,MG,MDGS,MDG,MAG,Q1019
MWI,553,MAW,676,MW,MWI,MWI,705,117,MW,MLWI,MWI,MLW,Q1020
MYS,820,MAL,548,MY,MYS,MYS,706,116,MY,MLYS,MYS,MAL,Q833
MDV,781,MAD,556,MV,MDV,MDV,691,211,XC,MLDV,MDV,MDV,Q826
MLI,432,MLI,678,ML,MLI,MLI,695,115,ML,MALI,MLI,MLI,Q912
MLT,338,MLT,181,MT,MLT,MLT,696,212,MM,MLTA,MLT,MAT,Q233
MHL,983,MSI,867,MH,MHL,MHL,693,223,XE,,MHL,,Q709
MTQ,,,349,MQ,MTQ,MTQ,703,284,MQ,,MTQ,,Q17054
MRT,435,MAA,682,MR,MRT,MRT,701,114,MU,MRTN,MRT,MAU,Q1025
MUS,590,MAS,684,MU,MUS,MUS,704,213,MF,MRTS,MUS,MAR,Q1027
MYT,,,,YT,MYT,MYT,707,193,OT,,MYT,,Q17063
OWID_MNS,,,,,,,835,478,,,,,
MEX,70,MEX,273,MX,MEX,MEX,692,113,MX,MXCO,MEX,MEX,Q96
FSM,987,FSM,868,FM,FSM,FSM,633,222,FM,,FSM,,Q702
